;seq_name;V1;V2;center_seq_name;eukref_env_biome;eukref_geo_loc_name;eukref_notes;gb_isolation_source;pr2_ocean;gb_lat_lon;pr2_ecosystem;pr2_habitat;gb_publication
1;AB022103_1_1787_U_Aplanochytrium_kerguelense;S;56;AB022103_1_1787_U_Aplanochytrium_kerguelense;NA;NA;NA;NA;NA;NA;oceanic;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
2;AB022104_1_1760_U_Ulkenia_sp;S;110;AB022104_1_1760_U_Ulkenia_sp;NA;NA;NA;NA;NA;NA;coastal;macroalgae;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
3;AB022105_1_1621_U_Labyrinthula_sp;H;238;FR875359_1_1685_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA;mangrove;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
4;AB022106_1_1677_U_Schizochytrium_aggregatum;S;249;AB022106_1_1677_U_Schizochytrium_aggregatum;NA;NA;NA;NA;NA;NA;oceanic;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
5;AB022108_1_1794_U_Oblongichytrium_sp;S;48;AB022108_1_1794_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
6;AB022110_1_1807_U_Thraustochytrium_aureum;S;29;AB022110_1_1807_U_Thraustochytrium_aureum;NA;NA;NA;NA;NA;NA;coastal;water;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
7;AB022111_1_1796_U_Oblongichytrium_sp;S;45;AB022111_1_1796_U_Oblongichytrium_sp;NA;NA;NA;NA;NA;NA;;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
8;AB022112_1_1749_U_Thraustochytrium_striatum;S;95;AB022112_1_1749_U_Thraustochytrium_striatum;NA;NA;NA;NA;NA;NA;estuary;macroalgae;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
9;AB022113_1_1795_U_Thraustochytrium_pachydermum;S;47;AB022113_1_1795_U_Thraustochytrium_pachydermum;NA;NA;NA;NA;NA;NA;;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
10;AB022114_1_1707_U_Botryochytrium_sp;S;208;AB022114_1_1707_U_Botryochytrium_sp;NA;NA;NA;NA;NA;NA;;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
11;AB022116_1_1812_U_Ulkenia_visurgensis;S;25;AB022116_1_1812_U_Ulkenia_visurgensis;NA;NA;NA;NA;NA;NA;;;Molecular phylogeny of labyrinthulids and thraustochytrids based on the sequencing of 18S ribosomal RNA gene
12;AB052555_1_1755_U_Schizochytrium_sp;H;69;MH488968_1_1781_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;A newly isolated marine microbe, Schizochytrium sp. KH105, as a potential source of polyunsaturated fatty acids and ketocarotenoids
13;AB052556_1_1793_U_Schizochytrium_sp;S;50;AB052556_1_1793_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Production of polyunsaturated fatty acids by Thraustochytrium sp. KK17-3
14;AB073303_1_1582_U_Thraustochytriaceae_X_sp;S;312;AB073303_1_1582_U_Thraustochytriaceae_X_sp;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
15;AB073304_1_1679_U_Parietichytrium_sarkarianum;S;245;AB073304_1_1679_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
16;AB073305_1_1731_U_Parietichytrium_sarkarianum;S;163;AB073305_1_1731_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
17;AB073306_1_1664_U_Schizochytrium_sp;S;262;AB073306_1_1664_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
18;AB073307_1_1660_U_Labyrinthuloides_sp;S;265;AB073307_1_1660_U_Labyrinthuloides_sp;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
19;AB073308_1_1693_U_Thraustochytriaceae_X_sp;S;228;AB073308_1_1693_U_Thraustochytriaceae_X_sp;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
20;AB073309_1_1655_U_Schizochytrium_sp;S;267;AB073309_1_1655_U_Schizochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Grouping newly isolated docosahexaenoic acid-producing thraustochytrids based on their polyunsaturated fatty acid profiles and comparative analysis of 18S rRNA genes
21;AB095092_1_1719_U_Labyrinthula_sp;S;187;AB095092_1_1719_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA;coastal;leaves;A new labyrinthulid isolate, which solely produces n-6 docosapentaenoic acid
22;AB126669_1_1700_U_Aurantiochytrium_sp;S;219;AB126669_1_1700_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;coastal;water;Identification by HPLC-MS of carotenoids of the Thraustochytrium CHN-1 strain isolated from the Seto Inland Sea
23;AB183653_1_1696_U_Sicyoidochytrium_sp;H;150;AB183654_1_1737_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
24;AB183654_1_1737_U_Sicyoidochytrium_sp;S;150;AB183654_1_1737_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
25;AB183655_1_1715_U_Aurantiochytrium_sp;S;198;AB183655_1_1715_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
26;AB183656_1_1737_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
27;AB183657_1_1730_U_Aurantiochytrium_sp;H;69;MH488968_1_1781_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
28;AB183658_1_1726_U_Aurantiochytrium_sp;H;69;MH488968_1_1781_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
29;AB183659_1_1711_U_Sicyoidochytrium_sp;H;150;AB183654_1_1737_U_Sicyoidochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
30;AB183660_1_1702_U_Aurantiochytrium_sp;H;198;AB183655_1_1715_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
31;AB183661_1_1730_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
32;AB183662_1_1738_U_Aurantiochytrium_sp;H;143;AB811009_1_1740_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
33;AB183663_1_1731_U_Aurantiochytrium_sp;H;151;AB810990_1_1737_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
34;AB183664_1_1738_U_Aurantiochytrium_sp;H;94;JX847371_1_1768_U_Aurantiochytrium_sp;NA;NA;NA;NA;NA;NA;;;MBIC microalgal collection
35;AB191423_1_1718_U_Labyrinthulomycetes_LAB2_X_sp;S;192;AB191423_1_1718_U_Labyrinthulomycetes_LAB2_X_sp;NA;NA;NA;anoxic sediment around fumaroles on a submarine caldera floor;NA;NA;deep_sea;sediment;NA
36;AB191424_1_1718_U_Labyrinthulomycetes_LAB2_X_sp;H;192;AB191423_1_1718_U_Labyrinthulomycetes_LAB2_X_sp;NA;NA;NA;anoxic sediment around fumaroles on a submarine caldera floor;NA;NA;deep_sea;sediment;NA
37;AB191425_1_1718_U_Labyrinthulomycetes_LAB6_sp;S;193;AB191425_1_1718_U_Labyrinthulomycetes_LAB6_sp;NA;NA;NA;anoxic sediment around fumaroles on a submarine caldera floor;NA;NA;deep_sea;sediment;NA
38;AB219775_1_579_U_Labyrinthulomycetes_LAB1_sp;S;896;AB219775_1_579_U_Labyrinthulomycetes_LAB1_sp;gut of lobster larvae;NA;gut contents of lobster larvae;gut contents of lobster larvae;NA;NA;oceanic;larvae;A molecular attempt to identify prey organisms of lobster phyllosoma larvae
39;AB244715_1_1742_U_Parietichytrium_sarkarianum;S;112;AB244715_1_1742_U_Parietichytrium_sarkarianum;NA;NA;NA;NA;NA;NA; ;;Multi-gene phylogeny and evolution of thraustochytrids
40;AB246794_1_1680_U_Labyrinthula_sp;S;244;AB246794_1_1680_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA; ;;Multi-gene phylogeny and evolution of thraustochytrids
41;AB246795_1_1680_U_Labyrinthula_sp;H;244;AB246794_1_1680_U_Labyrinthula_sp;NA;NA;NA;NA;NA;NA; ;;Multi-gene phylogeny and evolution of thraustochytrids
42;AB252772_1_1679_U_Labyrinthulomycetes_LAB10_X_sp;S;246;AB252772_1_1679_U_Labyrinthulomycetes_LAB10_X_sp;NA;NA;NA;anoxic sediment;NA;NA;deep_sea;sediment;NA
43;AB273928_1_519_U_Amphifilaceae_X_sp;H;958;AB970374_1_520_U_Amphifilaceae_X_sp;soil;Italy;Rice field soil;Rice field soil;NA;NA;terrestrial;soil;A methane-driven microbial food web in a wetland rice soil
44;AB275111_1_1803_U_Labyrinthulomycetes_LAB1_sp;S;35;AB275111_1_1803_U_Labyrinthulomycetes_LAB1_sp;NA;NA;NA;methane cold seep sediment of Sagami Bay;NA;NA;coastal;sediment;NA
